ID,status,changedAt,changedBy,note,request_ID
b1b2c3d4-0001-4000-8000-000000000001,Submitted,2025-01-15T09:00:00Z,EMP001,,a1b2c3d4-0001-4000-8000-000000000001
b1b2c3d4-0002-4000-8000-000000000002,UnderReview,2025-01-16T10:00:00Z,SYSTEM,PayParity validation complete,a1b2c3d4-0001-4000-8000-000000000001
b1b2c3d4-0003-4000-8000-000000000003,Approved,2025-01-18T10:30:00Z,APR001,,a1b2c3d4-0001-4000-8000-000000000001
b1b2c3d4-0004-4000-8000-000000000004,Completed,2025-01-22T14:00:00Z,SYSTEM,Report generated by PayParity,a1b2c3d4-0001-4000-8000-000000000001
b1b2c3d4-0005-4000-8000-000000000005,Submitted,2025-02-01T11:00:00Z,EMP002,,a1b2c3d4-0002-4000-8000-000000000002
b1b2c3d4-0006-4000-8000-000000000006,UnderReview,2025-02-02T09:00:00Z,SYSTEM,PayParity validation complete,a1b2c3d4-0002-4000-8000-000000000002
b1b2c3d4-0007-4000-8000-000000000007,Approved,2025-02-05T09:00:00Z,APR001,,a1b2c3d4-0002-4000-8000-000000000002
b1b2c3d4-0008-4000-8000-000000000008,Submitted,2025-02-10T14:30:00Z,EMP003,,a1b2c3d4-0003-4000-8000-000000000003
b1b2c3d4-0009-4000-8000-000000000009,UnderReview,2025-02-12T08:00:00Z,SYSTEM,PayParity validation complete - minor flag,a1b2c3d4-0003-4000-8000-000000000003
b1b2c3d4-0010-4000-8000-000000000010,Submitted,2025-01-20T10:00:00Z,EMP001,,a1b2c3d4-0004-4000-8000-000000000004
b1b2c3d4-0011-4000-8000-000000000011,UnderReview,2025-01-22T08:00:00Z,SYSTEM,PayParity validation complete - flagged,a1b2c3d4-0004-4000-8000-000000000004
b1b2c3d4-0012-4000-8000-000000000012,Denied,2025-01-25T16:00:00Z,APR002,Comparison group too narrow - please resubmit with broader parameters,a1b2c3d4-0004-4000-8000-000000000004
b1b2c3d4-0013-4000-8000-000000000013,Submitted,2025-02-15T08:45:00Z,EMP002,,a1b2c3d4-0005-4000-8000-000000000005
